,Location,Date,Time,Total
20,Emerald / Milwaukee,2012-05-15,PM,76.0
21,Five Mile / McMillan,2012-05-16,AM,55.0
22,Glenwod / Marigold,2012-05-15,PM,140.0
23,Hill / Castle,2012-05-17,PM,53.0
24,Hill / Gary,2012-05-15,PM,72.0
25,Pine / Ten Mile,2012-05-15,PM,18.0
26,Pleasanton / N Greenbelt,2012-05-16,PM,340.0
27,Remington Bridge / N Greenbelt,2012-05-17,AM,46.0
28,Ustick / Curtis,2012-05-16,PM,49.0
29,Ustick / Mitchell,2012-05-15,PM,52.0
0,05th / Idaho,2012-09-13,AM,28.0
1,06th / O'Farrell,2012-09-13,PM,62.0
2,06th / Union,2012-09-11,PM,127.0
3,06th / Union,2012-09-12,AM,46.0
4,06th / Union,2012-09-15,PM,137.0
5,08th / Bannock,2012-09-11,AM,178.0
6,08th / Bannock,2012-09-12,AM,132.0
7,08th / Bannock,2012-09-18,NOON,61.0
8,08th / Main,2012-09-11,PM,339.0
9,08th / Main,2012-09-12,PM,343.0
10,08th / River,2012-09-11,AM,146.0
11,08th / S Greenbelt,2012-09-13,AM,315.0
12,13th / Fort,2012-09-19,PM,129.0
13,15th / Bannock,2012-09-18,PM,59.0
14,15th/ Idaho,2012-09-19,PM,35.0
15,16th / Bannock,2012-09-20,PM,60.0
16,16th / Idaho,2012-09-21,PM,36.0
17,15th / Franklin,2012-09-13,PM,125.0
18,23rd / Ellis,2012-09-12,AM,71.0
19,39th / Taft,2012-09-12,PM,32.0
20,42nd / Greenbelt,2012-09-13,PM,78.0
21,50th / Alworth,2012-09-11,PM,15.0
22,Americana / N Greenbelt,2012-09-13,PM,445.0
23,Bogus Basin / Cartwright,2012-09-12,PM,29.0
24,Bogus Basin / Cartwright,2012-09-15,NOON,90.0
25,Boise / Leadville,2012-09-11,AM,65.0
26,Boise / Protest,2012-09-12,AM,156.0
27,Broadway / S Greenbelt,2012-09-12,PM,306.0
28,Broadway / University,2012-09-20,NOON,124.0
29,Broadway / Warm Springs,2012-09-11,AM,53.0
30,Broadway / Warm Springs,2012-09-12,AM,64.0
31,Chinden / Garrett,2012-09-01,PM,25.0
32,Cloverdale / McMillan,2012-09-12,PM,64.0
33,Curtis / Northview,2012-09-13,PM,66.0
34,Eagle / S Greenbelt,2012-09-11,PM,15.0
35,Eagle / S Greenbelt,2012-09-12,PM,11.0
36,Eagle / S Greenbelt,2012-09-13,PM,14.0
37,Eagle / State,2012-09-11,AM,12.0
38,Eagle / State,2012-09-13,PM,26.0
39,Gowen / Pleasant Valley,2012-09-15,AM,17.0
40,Hill / Harrison,2012-09-11,AM,68.0
41,"Hill, Parkinson / Woodale",2012-09-12,AM,5.0
42,"Hill, Parkinson / Woodale",2012-09-12,PM,11.0
43,Hill / Seaman Gulch,2012-09-12,PM,29.0
44,Hill / Seaman Gulch,2012-09-15,PM,86.0
45,Leadville / S Greenbelt,2012-09-12,PM,202.0
46,Marigold / S Greenbelt,2012-09-13,PM,182.0
47,Orange Bridge & Greenbelt S,2012-09-12,PM,87.0
48,Orange Bridge & Greenbelt S,2012-09-13,PM,213.0
49,Pleasonton Bridge / N Greenbelt,2012-09-12,PM,355.0
50,Pleasonton Bridge / S Greenbelt,2012-09-12,PM,99.0
51,Seaman Gulch / Dry Creek,2012-09-11,PM,4.0
52,Seaman Gulch / Dry Creek,2012-09-12,AM,3.0
53,Ustick / Milwaukee,2012-09-12,PM,37.0
54,Victory / Gowen,2012-09-11,AM,18.0
55,Vista / Kootenai,2012-09-12,PM,96.0
56,Vista / Overland,2012-09-12,AM,28.0
57,VMP / Adams,2012-09-19,AM,27.0
58,Warm Springs / Parkcenter,2012-09-11,AM,21.0
59,Warm Springs / Parkcenter,2012-09-15,AM,59.0
60,Warm Springs / Walnut,2012-09-15,PM,103.0
0,03rd / Myrtle,2013-05-07,AM,59.0
1,08th / Bannock,2013-05-09,AM,149.0
2,08th / Fort,2013-05-09,PM,143.0
3,08th / N Greenbelt,2013-05-07,AM,200.0
4,08th / River,2013-05-08,AM,123.0
5,08th / S Greenbelt,2013-05-07,AM,146.0
6,13th / Fort,2013-05-08,AM,80.0
