Location,Date,Time,Total
Ustick / Mitchell,2012-05-15,PM,52.0
05th / Idaho,2012-09-13,AM,28.0
06th / O'Farrell,2012-09-13,PM,62.0
06th / Union,2012-09-11,PM,127.0
06th / Union,2012-09-12,AM,46.0
06th / Union,2012-09-15,PM,137.0
08th / Bannock,2012-09-11,AM,178.0
08th / Bannock,2012-09-12,AM,132.0
08th / Bannock,2012-09-18,NOON,61.0
08th / Main,2012-09-11,PM,339.0
08th / Main,2012-09-12,PM,343.0
08th / River,2012-09-11,AM,146.0
08th / S Greenbelt,2012-09-13,AM,315.0
13th / Fort,2012-09-19,PM,129.0
15th / Bannock,2012-09-18,PM,59.0
15th/ Idaho,2012-09-19,PM,35.0
16th / Bannock,2012-09-20,PM,60.0
16th / Idaho,2012-09-21,PM,36.0
15th / Franklin,2012-09-13,PM,125.0
23rd / Ellis,2012-09-12,AM,71.0
39th / Taft,2012-09-12,PM,32.0
42nd / Greenbelt,2012-09-13,PM,78.0
50th / Alworth,2012-09-11,PM,15.0
Americana / N Greenbelt,2012-09-13,PM,445.0
Bogus Basin / Cartwright,2012-09-12,PM,29.0
Bogus Basin / Cartwright,2012-09-15,NOON,90.0
Boise / Leadville,2012-09-11,AM,65.0
Boise / Protest,2012-09-12,AM,156.0
Broadway / S Greenbelt,2012-09-12,PM,306.0
Broadway / University,2012-09-20,NOON,124.0
Broadway / Warm Springs,2012-09-11,AM,53.0
Broadway / Warm Springs,2012-09-12,AM,64.0
Chinden / Garrett,2012-09-01,PM,25.0
Cloverdale / McMillan,2012-09-12,PM,64.0
Curtis / Northview,2012-09-13,PM,66.0
Eagle / S Greenbelt,2012-09-11,PM,15.0
Eagle / S Greenbelt,2012-09-12,PM,11.0
Eagle / S Greenbelt,2012-09-13,PM,14.0
Eagle / State,2012-09-11,AM,12.0
Eagle / State,2012-09-13,PM,26.0
Gowen / Pleasant Valley,2012-09-15,AM,17.0
Hill / Harrison,2012-09-11,AM,68.0
"Hill, Parkinson / Woodale",2012-09-12,AM,5.0
"Hill, Parkinson / Woodale",2012-09-12,PM,11.0
Hill / Seaman Gulch,2012-09-12,PM,29.0
Hill / Seaman Gulch,2012-09-15,PM,86.0
Leadville / S Greenbelt,2012-09-12,PM,202.0
Marigold / S Greenbelt,2012-09-13,PM,182.0
Orange Bridge & Greenbelt S,2012-09-12,PM,87.0
Orange Bridge & Greenbelt S,2012-09-13,PM,213.0
Pleasonton Bridge / N Greenbelt,2012-09-12,PM,355.0
Pleasonton Bridge / S Greenbelt,2012-09-12,PM,99.0
Seaman Gulch / Dry Creek,2012-09-11,PM,4.0
Seaman Gulch / Dry Creek,2012-09-12,AM,3.0
Ustick / Milwaukee,2012-09-12,PM,37.0
Victory / Gowen,2012-09-11,AM,18.0
Vista / Kootenai,2012-09-12,PM,96.0
Vista / Overland,2012-09-12,AM,28.0
VMP / Adams,2012-09-19,AM,27.0
Warm Springs / Parkcenter,2012-09-11,AM,21.0
Warm Springs / Parkcenter,2012-09-15,AM,59.0
Warm Springs / Walnut,2012-09-15,PM,103.0
03rd / Myrtle,2013-05-07,AM,59.0
08th / Bannock,2013-05-09,AM,149.0
08th / Fort,2013-05-09,PM,143.0
08th / N Greenbelt,2013-05-07,AM,200.0
08th / River,2013-05-08,AM,123.0
08th / S Greenbelt,2013-05-07,AM,146.0
13th / Fort,2013-05-08,AM,80.0
15th / Bannock,2013-05-07,PM,104.0
15th / Fort,2013-05-08,AM,56.0
15th / Franklin,2013-05-08,AM,81.0
16th / Grove,2013-05-07,AM,59.0
16th / Grove,2013-05-09,PM,42.0
23rd / Ellis,2013-05-07,AM,64.0
27th / Pleasanton,2013-05-09,PM,53.0
27th / State,2013-05-07,PM,42.0
36th / Hill / Catalpa,2013-05-09,PM,90.0
Beacon / Parkcenter,2013-05-09,AM,31.0
Boise / Apple,2013-05-07,PM,42.0
Boise / Protest,2013-05-07,AM,136.0
Broadway / N Greenbelt,2013-05-08,AM,119.0
Broadway / N Greenbelt,2013-05-08,PM,195.0
Broadway / Warm Springs,2013-05-09,AM,47.0
Chinden / Garrett,2013-05-08,PM,47.0
Eagle / Greenbelt,2013-05-07,PM,6.0
Emerald / Americana / Latah,2013-05-09,PM,116.0
Emerald / Five Mile,2013-05-09,PM,47.0
Emerald / Roosevelt,2013-05-07,AM,46.0
Federal Way / Gowen,2013-05-07,AM,19.0
Federal Way / Kootenai,2013-05-07,PM,53.0
Friendship Bridge / Greenbelt N,2013-05-09,AM,242.0
Friendship Bridge / Greenbelt S,2013-05-07,PM,406.0
Garden / Emerald,2013-05-09,AM,27.0
Glenwood / Marigold,2013-05-07,AM,72.0
Hill / Bogus Basin,2013-05-08,PM,95.0
Hill / Castle,2013-05-07,PM,33.0
Hill / Collister,2013-05-07,PM,58.0
Hill / Gary,2013-05-07,AM,19.0
Hill / Gary,2013-05-07,PM,27.0
Hill / Gary,2013-05-09,AM,17.0
Hill / Gary,2013-05-09,PM,72.0
Hill / Horseshoe Bend,2013-05-07,PM,25.0
Kootenai / Latah,2013-05-07,PM,51.0
Kootenai / Latah,2013-05-08,PM,42.0
Leadville / Highland,2013-05-07,AM,18.0
Leadville / Highland,2013-05-08,AM,26.0
Linder / Pine,2013-05-08,AM,17.0
Locust Grove / Overland,2013-05-07,AM,10.0
Locust Grove / Overland,2013-05-07,PM,11.0
Maple Grove / Victory,2013-05-08,AM,48.0
Maple Grove / Victory,2013-05-09,AM,48.0
Milwaukee / Northview,2013-05-09,AM,54.0
Milwaukee / Northview,2013-05-09,PM,42.0
