Street_name,Location,2010,2011,2012-May,2012-September,2013-May,2013-September,2014-May,2014-September,2015-May,2019-May,Total,Average
Fort,13th / Fort,105.0,0.0,0.0,129.0,80.0,126.0,64.0,102.0,0.0,0.0,792,99.0
Lemp,13th / Lemp,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,106,106.0
Bannock,15th / Bannock,0.0,0.0,0.0,59.0,104.0,117.0,0.0,0.0,0.0,0.0,280,93.33333333333333
Fort,15th / Fort,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,56,56.0
Franklin,15th / Franklin,0.0,0.0,66.0,125.0,81.0,116.0,0.0,156.0,0.0,0.0,544,108.8
Grove,15th / Grove,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,94.0
Idaho,15th / Idaho,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35,35.0
State,15th / State,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,93.0
Bannock,16th / Bannock,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60,60.0
Grove,16th / Grove,0.0,0.0,87.0,0.0,59.0,0.0,75.0,0.0,0.0,0.0,221,73.66666666666667
Idaho,16th / Idaho,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,39,39.0
State,16th / State,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,129.0
Resseguie,18th / Resseguie,0.0,0.0,0.0,0.0,0.0,103.0,82.0,113.0,0.0,0.0,298,99.33333333333333
Ellis,23rd / Ellis,0.0,0.0,82.0,71.0,64.0,63.0,0.0,0.0,0.0,0.0,280,70.0
State,23rd / State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,18.0
Ellis,26th / Ellis,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,51.0
