Location,Date,Time,Total
Cloverdale/McMillan,2016-05-12,AM,57.0
Broadway/Warm Springs,2016-05-11,PM,88.0
10th/Bannock,2016-05-11,PM,189.0
15th/Franklin,2016-05-11,PM,156.0
Lusk/Royal,2016-05-11,PM,82.0
23rd/Ellis,2016-05-12,AM,60.0
Apple/Boise,2016-05-12,AM,39.0
Bogus Basin/Hill,2016-05-11,AM,70.0
Latah/Kootenai,2016-05-11,AM,39.0
Emerald/Latah,2016-05-11,AM,95.0
Leadville/Highland,2016-05-10,AM,25.0
,,,0.0
,,,0.0
Federal/Protest/Kootenia,2018-05-09,am,66.0
10th and Franklin/Boise High,2018-05-09,am,148.0
Garden St/Franklin Rd,2019-05-10,PM,33.0
27th/State St,2018-05-09,PM,45.0
10th/Bannock,2018-05-01,PM,206.0
Vista/Overland,2018-05-09,PM,35.0
Curtis/Cassia,2018-05-09,PM,23.0
Boise/Bown,2018-05-09,AM,38.0
Whitewater/Pleasonton,2018-05-08,PM,97.0
Whitewater/Pleasonton,2018-05-08,PM,100.0
Shoeshone/Cassia,2018-05-08,PM,20.0
Parkcenter/Bown,2018-05-08,AM,47.0
Lusk/Royal,2018-05-09,PM,85.0
8th/Bannock,2019-05-07,AM,130.0
8th/fort,2019-05-07,AM,43.0
8th/river,2019-05-07,PM,282.0
Anne frank/greenbelt,2019-05-08,AM,156.0
Latah/Kootani,2019-05-07,PM,34.0
Ceaser chaavez(greenbelt)/Friendship bridge,2019-05-07,AM,199.0
Apple/Boise,2019-05-10,PM,39.0
Bergeson/Federal,2019-05-08,AM,26.0
36th and Street,2019-05-08,PM,140.0
Glenwood/Merigood,2019-05-09,AM,37.0
Bergeson/Hill,2019-05-09,AM,89.0
Ave B/Warmsprings/Broadway,2019-05-09,PM,98.0
